movieCd,movieNm,openDt,audiAcc,movieNmEn,showTm,nations,genres1,genres2,director,actors1,actors2,actors3,audit,companyCd,companyNm,rating
20217551,내가 죽기를 바라는 자들,2021-05-05,53543,Those Who Wish Me Dead,99,미국,범죄,스릴러,테일러 쉐리던,안젤리나 졸리,니콜라스 홀트,에이단 길렌,15세이상관람가,20100043.0,워너브러더스 코리아(주),7.5
20217500,보이저스,2021-05-26,19505,Voyagers,107,미국,SF,어드벤처,닐 버거,콜린 파렐,타이 쉐리던,릴리 로즈 멜로디 뎁,15세이상관람가,20139196.0,TCO(주)더콘텐츠온,7.32
20217490,스페이스 잼: 새로운 시대,2021-07-15,14043,Space Jam: A New Legacy,115,미국,애니메이션,어드벤처,말콤 D. 리,르브론 제임스,돈 치들,젠데이아 콜먼,전체관람가,20100043.0,워너브러더스 코리아(주),7.0
20217484,스파이럴,2021-05-12,128468,Spiral: From the Book of Saw,92,헝가리,스릴러,,대런 린 보우즈만,크리스 록,사무엘 L. 잭슨,마리솔 니콜스,청소년관람불가,20141648.0,(주)올스타엔터테인먼트,6.42
20217478,도라에몽: 스탠바이미 2,2021-05-19,79332,Stand by Me Doraemon 2,95,일본,애니메이션,,야기 류이치,윤아영,김정아,김혜성,전체관람가,20111081.0,(주)스마일이엔티,8.8
20217402,유다 그리고 블랙 메시아,2021-04-22,5222,Judas and the Black Messiah,125,미국,드라마,,,다니엘 칼루야,제시 플레먼스,마틴 쉰,15세이상관람가,20100043.0,워너브러더스 코리아(주),7.82
20217334,안녕하세요,2022-05-25,21372,Good morning,117,한국,드라마,,차봉주,김환희,유선,이순재,12세이상관람가,20228961.0,(주)디엔디픽쳐스,9.18
20217278,마크맨,2021-04-28,24917,The Marksman,107,미국,액션,,로버트 로렌즈,리암 니슨,,,15세이상관람가,20158370.0,(주)디스테이션,5.71
20216961,코스믹 씬,2021-04-22,4982,Cosmic Sin,88,미국,SF,액션,,브루스 윌리스,프랭크 그릴로,코리 라지,12세이상관람가,20161101.0,(주)제이앤씨미디어그룹,1.93
20216908,극장판 바다 탐험대 옥토넛 : 불의 고리 대폭발,2021-04-28,24396,OCTONAUTS: Ring of Fire,71,영국,애니메이션,액션,,하성용,정재헌,엄상현,전체관람가,20206061.0,주식회사 컨텐츠썬,9.26
20216838,국카스텐 콘서트 실황 : 해프닝,2021-03-24,4368,,87,한국,공연,,,,,,전체관람가,20137115.0,(주)인터파크,
20216801,"극장판 포켓몬스터: 정글의 아이, 코코",2021-09-15,212712,Pokemon the Movie: Secrets of the Jungle,98,일본,애니메이션,,야지마 테츠오,,,,전체관람가,20100932.0,(주)넥스트엔터테인먼트월드(NEW),9.08
20216768,몬테크리스토: 더 뮤지컬 라이브,2021-03-19,17096,,142,한국,공연,,오윤동,카이,린아,김준현,12세이상관람가,20203082.0,씨제이포디플렉스 주식회사,9.36
20216710,명탐정 코난: 비색의 탄환,2021-04-16,228398,Detective Conan: The Scarlet Bullet,110,일본,애니메이션,,나가오카 치카,,,,12세이상관람가,20110854.0,(주)씨제이이엔엠,9.08
20216703,더 스파이,2021-04-28,303268,The Courier,111,미국,스릴러,,도미닉 쿡,베네딕트 컴버배치,메랍 니니트쩨,제시 버클리,15세이상관람가,20139196.0,TCO(주)더콘텐츠온,8.54
20216685,루카,2021-06-17,367109,Luca,95,미국,애니메이션,어드벤처,엔리코 카사로사,제이콥 트렘블레이,잭 딜런 그레이저,엠마 버만,전체관람가,20161801.0,월트디즈니컴퍼니코리아 유한책임회사,
20216555,아르코 라이브 뮤지컬 호프,2021-03-03,2757,ARKO LIVE 뮤지컬 호프,112,한국,공연,,,,,,12세이상관람가,20110019.0,한국문화예술위원회,
20216523,모탈 컴뱃,2021-04-08,39522,Mortal Kombat,109,미국,액션,어드벤처,,조 타슬림,루디 린,아사노 타다노부,청소년관람불가,20100043.0,워너브러더스 코리아(주),8.28
20216492,노바디,2021-04-07,129310,Nobody,91,미국,액션,코미디,일리야 나이슐러,봅 오덴커크,코니 닐슨,크리스토퍼 로이드,15세이상관람가,20100603.0,유니버설픽쳐스인터내셔널 코리아(유),
20216362,크루엘라,2021-05-26,1975467,Cruella,133,미국,드라마,범죄,크레이그 질레스피,엠마 스톤,엠마 톰슨,마크 스트롱,12세이상관람가,20161801.0,월트디즈니컴퍼니코리아 유한책임회사,9.22
20216361,브레이브 언더 파이어,2021-03-17,15320,FIRE,107,러시아,액션,,,콘스탄틴 카벤스키,이반 얀콥스키,,12세이상관람가,2013216.0,(주)박수엔터테인먼트,7.51
20216051,리스타트,2021-03-11,38131,RE-START,100,미국,액션,,조 카나한,프랭크 그릴로,멜 깁슨,나오미 왓츠,15세이상관람가,20100932.0,(주)넥스트엔터테인먼트월드(NEW),
20216022,웨이 다운,2021-03-11,9801,Way Down,117,스페인,액션,어드벤처,하우메 발라게로,프레디 하이모어,리암 커닝햄,샘 라일리,15세이상관람가,20100634.0,(주)누리픽쳐스,7.65
20215992,극장판 페이트/그랜드 오더 신성원탁영역 카멜롯 완더링; 아가트람,2021-02-25,4109,Fate/Grand Order THE MOVIE Divine Realm of the Round Table: Camelot Wandering; Agateram,89,일본,애니메이션,액션,스에자와 케이,미야노 마모루,시마자키 노부나가,,15세이상관람가,20137515.0,(주)애니플러스,6.07
